	Russian
ui.lang	Русский
ui.fist.name	кулак
ui.label.continue	продолжить
ui.label.pause	(пауза)
ui.label.close	закрыть
ui.label.safezone	безопасная зона
ui.label.toskip	пропустить
ui.label.modificator	модификатор
ui.label.level	уровень
ui.label.effect	эффект
ui.label.none	нет
ui.label.exit	выход
ui.label.evacuation	эвакуация
ui.label.activity	активность
ui.label.dead	мертво
ui.label.noclass	нет класса
ui.label.return	вернуться
ui.label.selectclass	выбрать класс
ui.label.changeclass	изменить класс
ui.label.finishmission	завершить миссию
ui.label.starttravel	начать путешествие
ui.label.missionavailable	доступно задание
ui.label.additional	Дополнительно:
ui.label.pay	Оплата
ui.label.day_short	д
ui.label.hour_short	ч
ui.label.minute_short	м
ui.label.onway	в пути
ui.label.items	предметы
ui.label.corpse	труп
ui.label.ladder_up	лестница наверх
ui.label.ladder_down	лестница вниз
ui.label.amplifier	Усилитель
ui.label.container	контейнер
ui.label.bramfaturaportal	брамфатурный портал
ui.label.monsterspeed	скорость
ui.label.walkingtype	тип перемещения
ui.label.cal	ккал
ui.label.kg	кг
ui.label.actionpoints_short	ОД
ui.label.turns	ход.
ui.label.health	ОЗ
ui.label.points_short	оч
ui.label.row	ряд
ui.label.slot	слот
ui.label.kills	убийств
ui.label.floor	Этаж
ui.label.satietylevel	уровень насыщения
ui.label.painlevel	болевой порог
ui.label.reload	перезарядка оружия
ui.label.clone	клонировать
ui.label.equipment	снаряжение
ui.label.send	отправить
ui.label.exchange_artifacts	обменять
ui.label.throwgrenade	граната
ui.label.applyultimate	способность
ui.label.focus_Expansion	Расширение
ui.label.focus_Defense	Оборона
ui.label.focus_Scouting	Разведка
ui.label.bluemark_disabled	Нелегальная организация
ui.label.bluemark_enabled	Спасибо за поддержку
ui.label.subscribe	подписаться
ui.label.unsubscribe	отписаться
ui.label.rewards_exchange	Награда/Обмен
ui.label.details	Детали
ui.label.operator	Оперативник
ui.label.operators	Оперативники
ui.label.merc_classes	Классы
ui.label.start_development	Начать разработку
ui.label.emptyslot	Пустой слот
ui.label.item	Предмет
ui.label.resources	Ресурсы
ui.label.time	Время
ui.label.unloadtocargo	Выгрузить все
ui.label.enemy	Противник
ui.label.noinventorywhilerun	Инвентарь не доступен на бегу
ui.label.noobstacleswhilerun	Не доступно во время бега
ui.label.limitwhilebaron	Квазиморфный шторм
ui.label.limittutorial	Пока не доступно
ui.label.remove_item_here	Перетащите предмет для удаления
ui.label.sort_arsenal	Отсортировать груз. отсек
ui.label.looted	Обыскано
ui.label.stationwner	Владелец
ui.label.victim	Жертва
ui.label.beneficiary	Бенефициар
ui.label.locked_by_reputation	Недоступно. Плохие отношения.
ui.label.savedslot	Слот {0}
ui.label.newsave	Новая Игра
ui.label.restorechance	Шанс восстановления {0}
ui.label.invalid_version	Устаревшая версия
ui.label.unexpected_error	Неизвестная ошибка
ui.label.no_consume_regen	нет
ui.label.perk	Перк
ui.label.status_effect	Статус Эффект
ui.label.wound	Рана
ui.label.addiction	Зависимость
ui.label.manufacturers	Производители
ui.label.consumers	Потребители
ui.label.Income	Доход
ui.label.expense	Расход
ui.label.hazards	Опасная клетка
ui.label.disassemble_corpse_items	Разобрать всё
ui.label.amputate_corpse_slots	Ампутировать всё
ui.label.upgrade	Улучшить
ui.label.no_device	нет устройства
ui.label.installed	Установлен
ui.label.available	Доступен
ui.label.blocked	Заблокирован
ui.label.standalone	Автономный
